Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AR229433029783715840,FEENSTRA FOR CONGRESS,FEC ID C00693663,US,US-Federal,10,4400,4000,332250,7850,30400,109000,30000,1410000,18100,19425,42750,3550,7200
AR22955054008893440,Adosphere Brandings Pvt. Ltd.,,IN,IN-General,50,300,300,21750,550,2100,7000,2000,90000,1200,1350,3000,250,400
AR229605103353462784,CLAIRE CHASE FOR CONGRESS,FEC ID C00717306,US,US-Federal,4,2000,1800,144250,3550,13600,46000,13500,615000,7800,8700,19500,1550,3200
AR230035974472597504,AMERICANS FOR PROSPERITY,FEC ID C90013285,US,US-Federal,3,3900,3400,275000,6625,25200,87000,25500,1087500,14600,15900,34500,3000,5800
AR230175681168801792,SANTABARBARA FOR ASSEMBLY,EIN ID 27-2810956,US,US-Federal,3,6000,5200,440000,10200,38900,136000,39000,1740000,22800,24600,54000,4650,9000
AR230475229367894016,SENATE LEADERSHIP FUND,FEC ID C00571703,US,US-Federal,3079,8029600,6909900,587864000,13515200,51608700,180313000,51502500,2322180000,30140200,32699400,71806500,6170050,12164400
AR230482101315567616,ODS,,"CZ, DE, DK, ES, EU, GB, HU, LT, LV, NL, PL, SE, SK",EU-Parliament,102,5700,5050,396750,9900,37600,130000,38000,1650000,21800,24075,54750,4400,8600
AR23064867732717568,314 ACTION FUND,FEC ID C00633248,US,US-Federal,39,78100,68100,5769750,133175,513900,1826000,507000,24240000,305200,330375,716250,61300,120400
AR230866930385289216,MODERATA SAMLINGSPARTIET RIKSORGANISATIONEN,,"EU, SE",EU-Parliament,25,2000,1750,137750,3450,13100,46000,13000,577500,7600,8400,18750,1550,3000
AR230918057675980800,ΠΑΠΑΣ ΘΕΟΦΑΝΗΣ (ΦΑΝΗΣ),,"EU, GR",EU-Parliament,19,900,800,63500,1600,6100,21000,6000,270000,3500,3900,9000,750,1400
AR231125315617816576,CINDY SIEGEL FOR CONGRESS,FEC ID C00703199,US,US-Federal,91,2400,2150,169250,4200,16000,55000,16000,720000,9200,10275,22500,1850,3600
AR231184070770425856,ONEWHISTLE INC,EIN ID 47-2444137,US,US-Federal,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AR231254783111987200,SAN DIEGANS AGAINST HATE OPPOSING LORIE ZAPF FOR CITY COUNCIL  2018 SPONSORED BY BUILDING AND CONSTRUCTION TRADES,EIN ID 81-2229625,US,US-Federal,1,700,600,48750,1150,4400,15000,4500,187500,2500,2700,6000,500,1000
AR231272237859078144,DEBBIE FOR CONGRESS,EIN ID 82-2332314,US,US-Federal,27,10200,8900,756500,17375,66900,235000,66000,3135000,39400,42975,93000,7900,15800
AR231601129274736640,DONOVAN FOR CONGRESS,FEC ID C00571869,US,US-Federal,3,800,650,51750,1275,4800,17000,5000,210000,2800,3075,6750,600,1200
AR231637825475313664,JON FRANCIS CAMPAIGN,EIN ID 84-3974773,US,US-Federal,44,3700,3250,270250,6400,24600,86000,24500,1140000,14400,15750,34500,2900,5600
AR231824398854651904,DEFAZIO FOR CONGRESS,FEC ID C00215905,US,US-Federal,52,6400,5550,472000,10875,42000,151000,41500,1995000,25200,27075,58500,5000,10000
AR231855460058136576,FAITH JOHNSON FOR DALLAS COUNTY DISTRICT ATTORNEY,EIN ID 83-2150638,US,US-Federal,11,3600,3050,246000,6000,22700,80000,23000,1005000,13400,14325,31500,2700,5200
AR231942390196207616,Grüne Wirtschaft,,"AT, EU",EU-Parliament,4,11200,10200,803000,19950,76100,257000,76500,3442500,43700,48900,108000,8650,17600
AR232330930117672960,BRYNNE KENNEDY FOR CONGRESS,FEC ID C00704650,US,US-Federal,93,46500,40500,3397000,79200,304100,1059000,302000,14190000,178300,195675,423750,35900,70800
AR23233367889674240,FRIENDS OF PAUL FERRO,EIN ID 83-2333865,US,US-Federal,1,400,350,30000,700,2700,9000,2500,120000,1600,1725,3750,300,600
AR232372436681621504,FRIENDS OF MARC FRIEDENBERG,FEC ID C00655084,US,US-Federal,5,29000,25850,2024500,50600,191900,666000,193000,8392500,111200,123150,277500,22500,44000
AR232680299937398784,Jukka Kopra,,"ES, EU, FI",EU-Parliament,14,7500,6650,517250,13000,49400,171000,49500,2130000,28500,31575,69750,5700,11000
AR232737268383612928,MATTHEW JEWELL CAMPAIGN,EIN ID 83-4438177,US,US-Federal,1,3300,3000,235500,5900,22400,78000,22500,1005000,13000,14325,33000,2700,5200
AR232771834280411136,BOWMAN FOR CONGRESS,FEC ID C00709196,US,US-Federal,47,80800,71800,6107500,140475,544200,1912000,535500,24885000,318900,347325,756750,64650,125200
AR233000395260035072,OMARI FAULKNER FOR VIRGINIA,EIN ID 84-3638695,US,US-Federal,12,500,450,36500,900,3400,12000,3500,150000,2000,2175,4500,400,800
AR233173224744026112,PARTIDUL NATIONAL LIBERAL filiala Alba,,"EU, RO",EU-Parliament,10,3100,2600,227000,5125,19700,70000,19500,937500,11700,12675,27000,2400,4600
AR233353544650981376,RPSC ideas s.r.o.,,"CZ, EU",EU-Parliament,11,400,400,33000,750,2900,10000,3000,135000,1700,1875,3750,350,600
AR23346342709428224,SARA JACOBS FOR CONGRESS,FEC ID C00719559,US,US-Federal,23,48700,43450,3521250,85025,325500,1118000,324500,15007500,189300,209400,457500,37650,75400
AR233916494604402688,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN INC,EIN ID 39-1678012,US,US-Federal,1,6900,6250,517500,12200,47500,170000,46500,2227500,28300,30150,68250,5600,11600
AR234089736405254144,BUDDY FOR NC,EIN ID 83-3998203,US,US-Federal,16,3500,3200,253750,6300,24000,82000,24000,1080000,13900,15375,34500,2800,5600
AR234130349616005120,FLORIDA DEMOCRATIC PARTY,Registered in Florida 1539,US,US-Federal,1,600,600,45750,1125,4300,15000,4500,187500,2500,2700,6000,500,1000
AR234582729931358208,ELIZABETH MARKOWITZ FOR TEXAS HOUSE DISTRICT 28,EIN ID 84-2771036,US,US-Federal,28,44700,40350,3180500,78900,300300,1027000,301500,13387500,172200,192150,431250,34650,69400
AR234591388585426944,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,,"EU, HU, SK",EU-Parliament,126,27400,25200,1959250,49325,187900,631000,188500,8505000,107800,120675,266250,21100,42800
AR234707593220587520,MO CHEEKS FOR MAYOR,EIN ID 83-1119380,US,US-Federal,1,0,50,3000,75,300,1000,500,15000,200,150,750,50,0
AR235108296489435136,ROYCE WEST FOR U.S. SENATE,FEC ID C00712968,US,US-Federal,1,200,200,16500,400,1500,5000,1500,67500,900,975,2250,200,400
AR235211581862969344,CITIZENS FOR DOGAN,EIN ID 463876314,US,US-Federal,4,5900,5150,429250,10050,38300,133000,38500,1680000,22300,24075,53250,4550,8800
AR235361802639114240,"SALES, WALT",Registered in Montana,US,US-Federal,1,100,50,5500,125,500,2000,500,22500,300,300,750,50,200
AR235409837553352704,ELECTRIC SYMPHONY LLC,EIN ID 46-3284163,US,US-Federal,140,31100,27450,2275750,53725,205600,717000,205000,9165000,119700,130425,289500,24400,47800
AR235441860829511680,Navdeep Sehrawat,,IN,IN-General,17,2800,2500,196000,4850,18400,64000,18500,817500,10600,11775,27000,2150,4400
AR235593318556237824,Christlich Soziale Union,,"DE, EU",EU-Parliament,2,0,50,3250,75,300,1000,500,15000,200,225,750,50,0
AR235858094700101632,FRIENDS OF SARAH SCHULZ,EIN ID 80-4003279,US,US-Federal,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AR235859950125973504,UA UNION PLUMBERS & PIPEFITTERS VOTE! PAC (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA),FEC ID C00012476,US,US-Federal,36,20300,17700,1414500,34600,131400,454000,132000,5782500,76100,83175,184500,15450,30400
AR236104728902107136,MARTHA ROBY FOR CONGRESS,FEC ID C00462143,US,US-Federal,85,34400,29450,2358250,57625,217800,764000,219500,9592500,128000,137325,305250,26050,50600
AR236111600849780736,Green Party of Ireland / Comhaontas Glas,,"EU, IE",EU-Parliament,145,5400,4850,380500,9475,36100,123000,36000,1620000,20800,23175,51750,4150,8200
AR23613111718117376,FRIENDS OF ELIZABETH ESTY,FEC ID C00494203,US,US-Federal,5,15300,13650,1105250,26725,102000,355000,102000,4582500,59400,65100,144750,12050,23600
AR236168294418087936,FRIENDS OF BRENDAN JOHNSON,EIN ID 84-2732669,US,US-Federal,44,700,650,54750,1250,4800,17000,4500,217500,2800,3075,6750,550,1200
AR236446883176775680,RISNER FOR A STRONGER NM,EIN ID 84-2950940,US,US-Federal,6,100,100,9000,200,800,3000,1000,37500,500,525,750,100,200
AR236450319150612480,COMMITTEE TO ELECT CHAD M MINER FOR JUDGE,EIN ID 84-3685941,US,US-Federal,10,400,300,26750,625,2400,9000,2500,112500,1400,1575,3750,300,600
AR236539104714555392,FRIENDS OF KIMBERLY DUDIK,Registered in Montana,US,US-Federal,3,100,50,5750,150,500,2000,500,22500,300,375,750,50,200
AR236735986015404032,JUSTICE DEMOCRATS PAC,FEC ID C00630665,US,US-Federal,11,15700,14050,1099750,27475,104200,360000,105000,4597500,60100,66675,150000,12300,24000
AR236858237964517376,LYNCH FOR COLORADO,Registered in Colorado 20195037228,US,US-Federal,10,1700,1500,129000,2950,11500,40000,11500,532500,6700,7350,15750,1350,2600
AR236979459121479680,LIBERTY ALLIANCE USA,EIN ID 83-3671451,US,US-Federal,8,1500,1400,116000,2750,10700,39000,10500,502500,6400,6825,15000,1250,2600
AR237162665246457856,ONE COUNTRY INC,EIN ID 83-3768552,US,US-Federal,23,10400,8800,762000,17225,66400,235000,65500,3165000,39300,42750,91500,8000,15600
AR237230628808949760,DR JIM MAXWELL FOR CONGRESS,FEC ID C00666164,US,US-Federal,36,8000,7000,586750,13650,51800,180000,52000,2257500,30100,32550,72750,6150,12200
AR237244029106913280,SPD Ortsverein Xanten,,"DE, EU",EU-Parliament,2,500,400,33750,750,2900,10000,3000,135000,1700,1875,3750,350,600
AR237314329131614208,Komitet Wyborczy PSL,,"EU, PL",EU-Parliament,130,1300,1200,92250,2325,8800,31000,9000,397500,5100,5625,12750,1050,2000
AR237340030215913472,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,,"DE, EU, GB, PL",EU-Parliament,1058,261400,236700,18554250,463000,1758900,6123000,1767500,78547500,1026100,1125825,2551500,209550,410200
AR237351575088005120,PETE SESSIONS FOR CONGRESS,FEC ID C00303305,US,US-Federal,34,16800,14750,1231250,28825,109600,381000,110000,4770000,63600,68775,153000,13050,25600
AR237561375650480128,OCEANA INC,EIN ID 51-0401308,US,US-Federal,1,0,0,500,25,100,0,0,0,0,0,0,0,0
AR237832473986203648,GREAT AMERICAN COLLECTIBLES LLC,EIN ID 27-2114629,US,US-Federal,5,100,100,7250,175,700,2000,500,30000,400,450,750,100,200
AR237965927210024960,IOWA VALUES,FEC ID C00565846,US,US-Federal,22,79900,69300,5755000,135575,519100,1834000,516500,24090000,306400,333600,730500,63000,120600
AR238248432978886656,JON C LUNDBERG,,US,US-Federal,10,500,400,36000,825,3200,11000,3000,150000,1900,2025,4500,400,800
AR238386559127126016,ACTION 4 LIBERTY,EIN ID 46-3168899,US,US-Federal,42,13300,11700,1001750,22925,88500,312000,87500,4087500,52200,56700,123000,10600,20400
AR23854798117797888,DEFENDARIZONA,EIN ID 82-4255600,US,US-Federal,96,195900,166450,14430500,325525,1255600,4454000,1238500,59850000,745300,809025,1738500,151550,295200
AR238606324013727744,GINA FANT-SIMON,,US,US-Federal,7,1900,1600,137000,3100,12000,43000,12000,577500,7200,7725,16500,1450,2800
AR238773518500626432,Petros Kokkalis,,"EU, GR",EU-Parliament,231,21400,19100,1492000,37375,141900,492000,142500,6195000,82100,90975,204000,16650,32600
AR239482428622635008,HEIDI FOR SENATE,FEC ID C00505552,US,US-Federal,296,297800,258350,21598250,505250,1918300,6654000,1927000,83685000,1111500,1203075,2689500,229050,452800
AR239689892722900992,CORNYN MAJORITY TEXAS,FEC ID C00697730,US,US-Federal,3,10700,9150,785500,17875,69000,247000,68000,3307500,41300,44475,96000,8350,16200
AR23989694450630656,ARDA CAMPAIGNS LLC,EIN ID 82-3347781,US,US-Federal,1,400,350,27500,675,2600,9000,2500,112500,1500,1650,3750,300,600
AR240034108581871616,GOD PARTY ISRAELI-AMERICAN PLATFORM,FEC ID C00691840,US,US-Federal,1,0,0,500,0,0,0,0,0,0,0,0,0,0
AR240131346641453056,A STRONGER MISSOURI,EIN ID 85-1198692,US,US-Federal,14,210400,178250,15458250,348750,1344500,4764000,1326500,64132500,796500,866475,1856250,162750,315000
AR240372620724273152,FRIENDS OF DALE SOLTIS FOR SHERIFF,EIN ID 84-3674681,US,US-Federal,6,1700,1550,121750,3000,11400,39000,11500,517500,6600,7350,16500,1300,2600
AR240543663501869056,FRIENDS OF STEVE POLGAR,Registered in New York A23515,US,US-Federal,29,500,400,35250,800,3100,11000,3000,150000,1800,1950,4500,350,800
AR240608328529477632,RESONATE NETWORKS INC,EIN ID 27-1573058,US,US-Federal,21,20400,17600,1467750,34375,130600,452000,131000,5700000,75400,81750,183750,15700,30800
AR240720822312894464,BEN SALANGO FOR WEST VIRGINIA,EIN ID 84-3390846,US,US-Federal,3,7400,6600,559750,12925,50100,177000,49500,2287500,29300,31950,69000,5900,11600
AR240810638668988416,ELIZABETH HENG FOR CONGRESS,FEC ID C00670257,US,US-Federal,8,7700,6700,564000,13125,49800,173000,50000,2175000,28800,31275,69750,5900,11800
AR240906502339035136,SC OBSERVATOR MEDIA INFO SRL,,"EU, RO",EU-Parliament,8,300,250,21250,475,1800,7000,2000,90000,1100,1200,2250,200,400
AR240944779087577088,CHANGE NOW,FEC ID C00683599,US,US-Federal,66,199700,173900,14674000,340150,1293500,4511000,1297000,56925000,752400,814575,1806000,153950,304600
AR241346788026482688,KATHLEEN WILLIAMS FOR MONTANA,EIN ID 83-3599969,US,US-Federal,16,1100,1000,85000,1975,7600,27000,7500,352500,4500,4875,10500,900,1800
AR241434680237228032,GEORGIANS FOR A BRIGHTER FUTURE INC,EIN ID 83-2464283,US,US-Federal,43,20000,17600,1410750,34450,130600,457000,131500,5685000,75500,81975,180750,15650,29200
AR241460106443620352,KELLI BUTLER FOR ARIZONA,Registered in Arizona 201600317,US,US-Federal,1,1200,1000,86750,1975,7600,27000,7500,367500,4600,4875,10500,900,1800
AR241744467638353920,EXCEED MISSISSIPPI PAC,EIN ID 84-2508395,US,US-Federal,15,5600,5000,398500,9825,37100,130000,37500,1642500,21900,23700,54000,4600,8800
AR241827274607820800,CITIZENS FOR TURNER,EIN ID 71-0865338,US,US-Federal,1,0,0,500,25,100,0,0,0,0,0,0,0,0
AR241851532583108608,WELCH FOR CONGRESS,FEC ID C00413179,US,US-Federal,8,2300,1950,168500,3825,14800,53000,14500,705000,8900,9525,20250,1800,3400
AR242040786022039552,PEACEHEALTH,EIN ID 91-0565889,US,US-Federal,1,2000,1850,154000,3625,14000,50000,14000,652500,8400,8925,20250,1600,3400
AR242125929453715456,Sloboda a Solidarita,,"AT, CZ, EU, HU, PL, SK",EU-Parliament,1143,118800,107700,8431000,210625,801100,2735000,804500,35805000,461600,514500,1145250,92000,183600
AR242324872338866176,NEA ADVOCACY FUND,FEC ID C00489815,US,US-Federal,2,29700,25200,2185250,49275,189800,668000,187500,9030000,112100,122400,261750,22800,44800
AR242336073613574144,CAMPAIGN FUND OF ADAM JENNINGS,EIN ID 84-2131340,US,US-Federal,24,1400,1300,106000,2525,9800,35000,9500,457500,5800,6225,14250,1150,2400
AR242520447969656832,KYLE CANADAY,,US,US-Federal,6,100,100,9250,225,900,3000,1000,37500,500,525,1500,100,200
AR242570956785057792,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,EIN ID 27-3145176,US,US-Federal,41,8500,7450,621000,14575,55400,193000,55500,2407500,32200,34725,77250,6550,12800
AR242722551950737408,DR. CHUCK ELLINGTON FOR CONGRESS,FEC ID C00730101,US,US-Federal,2,600,500,43250,1025,4000,14000,4000,180000,2300,2550,6000,450,1000
AR242725987924574208,VOTEVETS,FEC ID C00418897,US,US-Federal,71,129500,113600,9516000,222200,847100,2948000,847500,37440000,492700,534900,1180500,100450,197600
AR242860128343162880,ELIZABETH PANNILL FLETCHER FOR CONGRESS,FEC ID C00640045,US,US-Federal,51,83300,71900,6098750,140625,538600,1885000,536000,24607500,315500,343050,748500,64200,126200
AR242981074622218240,KONNI BURTON CAMPAIGN,EIN ID 46-3201932,US,US-Federal,15,4500,3900,326250,7600,28900,100000,29000,1260000,16700,18150,40500,3450,6800
AR243135762164350976,"Prof. Dr. Ingo Hahn, MdL",,"DE, EU",EU-Parliament,2,0,0,250,0,0,0,0,0,0,0,0,0,0
AR243205718591668224,LAHOOD FOR CONGRESS,EIN ID 47-3464250,US,US-Federal,30,7600,6600,568000,12925,49800,176000,49000,2325000,29400,32025,69000,5950,11600
AR243296840617820160,FRIENDS OF GREG ROTHMAN,EIN ID 47-4205960,US,US-Federal,3,200,150,12500,275,1100,4000,1000,52500,700,675,1500,150,200
AR243325565359095808,FRIENDS OF BECKY GARDNER,EIN ID 84-2917316,US,US-Federal,12,100,100,8500,200,700,3000,500,30000,400,450,750,100,200
AR243568969745694720,BRAND FOR HOUSE,EIN ID 82-4030289,US,US-Federal,28,1100,950,81250,1850,7100,26000,7000,345000,4300,4575,9750,850,1600
AR243570412854706176,GIFFORDS PAC,FEC ID C00540443,US,US-Federal,73,155000,139200,11015500,272200,1036400,3560000,1039500,45757500,595000,661200,1491750,120400,242400
AR243734858562535424,HOYER FOR CONGRESS,FEC ID C00140715,US,US-Federal,38,110400,101000,8353250,197550,765300,2756000,753000,35400000,456000,488850,1068000,90000,180800
AR24388817171513344,Auburn Digital Solutions Private Limited,,IN,IN-General,124,174700,155600,12085750,304325,1155800,3990000,1161500,49942500,667600,739200,1622250,133750,259200
AR244030008715116544,TEAM STAVA-MURRAY,EIN ID 82-3081534,US,US-Federal,49,6000,5200,434250,10150,38600,134000,38500,1687500,22400,24225,54000,4600,9000
AR244209297829920768,SHARYN EFIMOFF,,US,US-Federal,2,200,200,14500,350,1300,5000,1500,60000,800,825,2250,150,400
AR244240359033405440,Riddle ride j.d.o.o.,,"EU, HR",EU-Parliament,136,2100,1850,157250,3625,14000,50000,14000,660000,8300,9000,19500,1700,3200
AR244245100677300224,UNITE THE COUNTRY,FEC ID C00701888,US,US-Federal,106,336000,303550,24107750,593675,2264400,7677000,2267500,102810000,1302600,1453800,3207000,258900,520400
AR244274375174389760,LKR,,"DE, EU",EU-Parliament,19,8500,7650,594500,14925,56700,197000,57000,2490000,32800,36300,81750,6750,13000
AR2442977397964800,LISA SONG SUTTON FOR CONGRESS,FEC ID C00711077,US,US-Federal,2,1400,1300,109000,2575,10000,36000,10000,465000,6000,6375,14250,1150,2400
AR244316775091535872,"REPUBLICAN STATE LEADERSHIP COMMITTEE, INC.",EIN ID 05-0532524,US,US-Federal,7,8900,7650,663000,14925,57500,201000,57000,2700000,33800,36975,78750,6850,13400
AR244350722513043456,THE SUBURBAN REPUBLICAN FOUNDATION,Registered in Illinois,US,US-Federal,1,600,550,46750,1100,4300,15000,4000,195000,2500,2700,6000,500,1000
AR24435546415693824,PAUL DAVIS FOR KANSAS,FEC ID C00653121,US,US-Federal,16,24800,21550,1810250,42150,160100,556000,161000,6975000,92800,100500,223500,19050,37800
AR244720295858929664,ENGAGED AMERICAN PAC,EIN ID 85-1282853,US,US-Federal,37,2800,2450,211750,4750,18300,64000,18000,847500,10800,11775,24750,2200,4400
AR244724487747010560,Gonzo Agency ApS,,"DK, EU",EU-Parliament,78,22200,19850,1546500,38800,147200,511000,148000,6435000,85100,94275,212250,17400,33800
AR24474441639526400,BOUGHTON FOR GOVERNOR,EIN ID 82-3978053,US,US-Federal,1,3100,2700,214250,5250,19900,69000,20000,862500,11500,12450,27750,2400,4600
AR245122167358881792,Štěpán Ryšavý,,"CZ, EU",EU-Parliament,3,100,50,6250,150,500,2000,500,22500,300,375,750,50,200
AR245418485742567424,CODAVATE LLC,EIN ID 82-4319215,US,US-Federal,2,0,0,1500,25,100,0,0,7500,100,75,0,0,0
AR24548040199110656,"BUILD GROW SCALE, LLC",EIN ID 82-2840155,US,US-Federal,8,0,50,3250,75,300,1000,500,15000,200,150,750,50,0
AR245542936714936320,FRIENDS OF DAVE BRAT INC.,FEC ID C00554949,US,US-Federal,130,60100,52050,4376500,101825,386800,1342000,388500,16852500,223900,242550,540750,46100,91000
AR245558123719294976,PHILADELPHIA CHURCH OF GOD INC,EIN ID 73-1354094,US,US-Federal,18,3700,3200,254750,6225,23600,82000,23500,1035000,13700,14850,33000,2850,5400
AR245746140207644672,Rohitesh Bhan,,IN,IN-General,8,100,50,4000,100,300,1000,500,15000,200,225,750,50,0
AR245758578432933888,"INTERNATIONAL RESCUE COMMITTEE, INC.",EIN ID 13-5660870,US,US-Federal,84,25300,22550,1804500,44125,168500,591000,168500,7590000,98900,107250,241500,19950,39400
AR246150623047712768,PIMA COUNTY REPUBLICAN PARTY,FEC ID C00757252,US,US-Federal,5,1500,1250,108250,2450,9500,34000,9500,457500,5700,6150,13500,1150,2200
AR246237828063690752,STABENOW FOR US SENATE,FEC ID C00344473,US,US-Federal,36,138300,119750,9811750,234175,888200,3090000,893000,38760000,516400,557250,1240500,106250,207200
AR246281808528801792,"YODER FOR CONGRESS, INC",FEC ID C00472365,US,US-Federal,20,12800,11000,904500,21525,81700,283000,82000,3555000,47200,51225,114000,9800,19200
AR246301393579671552,VOTE YES FOR FAIRNESS,EIN ID 84-3192895,US,US-Federal,247,1285000,1093850,94714750,2139750,8248100,29199000,8141500,391732500,4886500,5312850,11395500,993050,1934000
AR246860563961872384,CLUB FOR GROWTH ACTION,EIN ID 27-3167202,US,US-Federal,482,149800,128950,11152000,252250,970100,3407000,960500,45210000,571500,624375,1339500,116300,228200
AR247013670956040192,WAYNE WILLIAMS FOR COLORADO,EIN ID 47-3377821,US,US-Federal,5,18200,16050,1313000,31350,119100,414000,119500,5160000,69000,75225,166500,14050,27400
AR247032981129003008,FIVE KAO,,"BG, DE, EU, FR, IE, IT, RO",EU-Parliament,171,3600,3100,267000,6050,23300,83000,23000,1117500,13900,15000,32250,2850,5400
AR247033530884816896,DALE DEVON FOR STATE REPRESENTATIVE,EIN ID 85-3172416,US,US-Federal,1,300,300,24500,550,2200,8000,2000,105000,1300,1350,3000,250,600
AR247045625512722432,KYLE MARKLEY,,US,US-Federal,1,900,800,69250,1575,6100,22000,6000,292500,3600,3900,8250,750,1400
AR24721694316822528,Volt Nederland,,"AT, BE, BG, DE, ES, EU, IT, NL, SK",EU-Parliament,17,26500,23700,1847250,46375,176100,612000,177000,7740000,102000,112875,255000,20850,40600
AR24733720225251328,Partidul Miscarea Populara Filiala Bistrita Nasaud,,"EU, RO",EU-Parliament,6,300,250,22250,500,1900,7000,2000,90000,1100,1275,3000,250,400
AR247363727970533376,BLACKBURN TENNESSEE VICTORY FUND,FEC ID C00676395,US,US-Federal,16,105200,91900,7711250,179750,682900,2373000,685500,29722500,396000,428550,952500,81100,159800
AR247428186839711744,THE COMMITTEE TO ELECT JAY GONZALEZ,EIN ID 81-5147584,US,US-Federal,94,25100,21800,1826250,42675,162100,562000,162500,7072500,93900,101550,227250,19350,38000
AR247676676467589120,CENK FOR CONGRESS,FEC ID C00727008,US,US-Federal,31,9100,8250,655250,16150,61600,210000,61500,2790000,35600,39675,87750,7050,14400
AR247906886714654720,ESAFUND,FEC ID C00489856,US,US-Federal,11,163100,142900,11872250,279500,1062700,3690000,1066000,46005000,615900,666075,1475250,125250,245000
AR24800240678731776,BRENDA FOR FAIRFIELD,EIN ID 83-3615228,US,US-Federal,1,100,100,9500,250,900,3000,1000,37500,500,600,1500,100,200
AR248041576889057280,JONI FOR IOWA,FEC ID C00546788,US,US-Federal,293,869100,742600,64423000,1452525,5585400,19627000,5529000,261832500,3292500,3596100,7704750,670850,1313800
AR24814465610416128,BEACHSIDE MEDIA INC,EIN ID 81-3216842,US,US-Federal,6123,588900,531200,43470750,1038950,3994900,13941000,3964500,183022500,2337600,2557350,5639250,464900,930400
AR248190079678283776,LIUNA MINNESOTA & NORTH DAKOTA/LABORERS' DISTRICT COUNCIL OF  MINNESOTA & NORTH DAKOTA,FEC ID C00684332,US,US-Federal,32,0,0,1500,50,100,1000,0,7500,100,75,0,0,0
AR248384624516923392,"REDIRECT, LLC",EIN ID 20-0702510,US,US-Federal,21,4000,3450,296750,6775,26100,94000,25500,1245000,15600,16800,36000,3150,6200
AR248439806256742400,"MARSY'S LAW FOR PENNSYLVANIA, LLC",EIN ID 82-4987115,US,US-Federal,1,42100,37850,2989750,74075,282100,968000,283000,12465000,161800,180150,406500,32700,66000
AR248470386423889920,Dravida Munnetra Kazhagam,,IN,IN-General,293,681800,599850,47726000,1173300,4467900,15463000,4475500,195697500,2582000,2863200,6272250,522000,1011800
AR248471829532901376,SIERRA CLUB MASSACHUSETTS IEPAC,EIN ID 85-1961327,US,US-Federal,6,100,100,10750,225,900,3000,1000,45000,500,600,1500,100,200
AR248489627877376000,DCCC,FEC ID C00000935,US,US-Federal,1384,1645100,1426800,120191500,2790650,10652500,37198000,10636500,479377500,6223300,6753525,14870250,1270200,2500800
AR248500622993653760,GARY JOHNSON FOR US SENATE INC,FEC ID C00685610,US,US-Federal,13,2400,2100,176750,4100,15600,54000,15500,675000,9000,9750,21750,1850,3600
AR248722380745080832,CHARLES FALL FOR NY,EIN ID 82-5380494,US,US-Federal,4,200,200,18250,425,1600,6000,1500,75000,1000,1050,2250,200,400
AR248881328894771200,Österreichischer Wirtschaftsbund (ÖWB),,"AT, DE, EU",EU-Parliament,22,3300,2950,228750,5725,21700,75000,22000,945000,12600,13950,31500,2550,5000
AR248937541426741248,GUTHRIE FOR CONGRESS,FEC ID C00445023,US,US-Federal,3,7100,6150,526750,12000,46200,163000,45500,2152500,27200,29700,63750,5500,10800
AR24922217749938176,FRIENDS OF JASON MIYARES,EIN ID 47-3234493,US,US-Federal,25,3700,3400,265500,6600,25100,87000,25000,1117500,14600,16050,36000,2950,5800
AR249494237907779584,"BEATY, HOWARD",Registered in Arkansas 345178,US,US-Federal,10,0,50,3250,75,300,1000,500,15000,200,150,750,50,0
AR249539249165041664,"REFORM AUSTIN, INC.",EIN ID 82-4329726,US,US-Federal,169,56100,49150,4214000,96100,370500,1300000,366500,16965000,217200,237525,511500,43950,86000
AR249615527784218624,DSCC,FEC ID C00042366,US,US-Federal,1063,10117600,8591150,748582500,16804000,64651700,227046000,63961000,3035692500,38084300,41612100,89190750,7761600,15289400
AR249957682058887168,PARTIDUL MISCAREA POPULARA - FILIALA MEHEDINTI,,"EU, RO",EU-Parliament,19,600,500,44500,1000,3900,14000,4000,187500,2300,2475,5250,450,1000
AR250391370676568064,Most-Híd,,"AT, CZ, DE, EU, HU, SK",EU-Parliament,1334,69500,63600,4966000,124425,474000,1595000,475500,21427500,271800,304275,672000,53450,108000
AR250509224579170304,SOCIETY FOR HUMAN RESOURCE MANAGEMENT,EIN ID 34-0948453,US,US-Federal,2,0,0,250,0,0,0,0,0,0,0,0,0,0
AR250612990989041664,MELANIE FOR NEW MEXICO,Registered in New Mexico,US,US-Federal,6,3800,3200,277000,6275,24200,86000,24000,1155000,14400,15600,33750,2900,5600
AR250816538079133696,CONSTELLATION POLITICAL,EIN ID 27-2475108,US,US-Federal,23,400,350,29250,725,2800,10000,3000,120000,1600,1800,3750,300,600
